produto_id,nome,categoria,subcategoria,marca,preco_venda,custo,margem_percentual,stock_inicial
1,Samsung Portátil Plus 13,Computadores,Portátil,Samsung,2007.95,1608.41,19.9,79
2,Samsung Mini PC Plus 26,Computadores,Mini PC,Samsung,659.39,548.13,16.87,87
3,Apple Desktop Max 17,Computadores,Desktop,Apple,1959.44,1390.68,29.03,67
4,LG All-in-One Plus 23,Computadores,All-in-One,LG,2136.92,1813.6,15.13,53
5,Lenovo Desktop Pro 12,Computadores,Desktop,Lenovo,1008.1,702.95,30.27,58
6,Samsung All-in-One Pro 24,Computadores,All-in-One,Samsung,2209.24,1611.1,27.07,78
7,Samsung Mini PC  21,Computadores,Mini PC,Samsung,748.72,592.51,20.86,83
8,Dell Portátil Ultra 12,Computadores,Portátil,Dell,686.07,551.89,19.56,39
9,Kingston Portátil Ultra 15,Computadores,Portátil,Kingston,1321.24,1003.24,24.07,57
10,Asus Desktop  12,Computadores,Desktop,Asus,1872.33,1328.67,29.04,87
11,Xiaomi Desktop Max 22,Computadores,Desktop,Xiaomi,1613.87,1292.77,19.9,44
12,SanDisk Desktop Pro 17,Computadores,Desktop,SanDisk,1899.77,1294.56,31.86,14
13,Razer All-in-One Lite 20,Computadores,All-in-One,Razer,1361.21,1139.01,16.32,37
14,Xiaomi Mini PC Max 14,Computadores,Mini PC,Xiaomi,1350.7,901.04,33.29,43
15,HP Desktop  23,Computadores,Desktop,HP,2014.48,1495.16,25.78,84
16,Acer All-in-One Lite 25,Computadores,All-in-One,Acer,1015.71,660.71,34.95,21
17,Razer Portátil Plus 23,Computadores,Portátil,Razer,2235.1,1831.51,18.06,86
18,Samsung Mini PC Lite 18,Computadores,Mini PC,Samsung,1324.08,861.68,34.92,80
19,Kingston Portátil Lite 18,Computadores,Portátil,Kingston,1891.54,1564.47,17.29,53
20,Samsung All-in-One  18,Computadores,All-in-One,Samsung,1425.05,1081.98,24.07,74
21,Razer Desktop  19,Computadores,Desktop,Razer,1563.6,1295.78,17.13,74
22,LG Desktop Lite 26,Computadores,Desktop,LG,889.39,620.35,30.25,10
23,LG All-in-One Ultra 19,Computadores,All-in-One,LG,1527.35,1264.08,17.24,40
24,Dell Android Pro 14,Smartphones,Android,Dell,310.35,233.63,24.72,26
25,Xiaomi Android Lite 23,Smartphones,Android,Xiaomi,1429.9,1168.19,18.3,37
26,SanDisk Android  21,Smartphones,Android,SanDisk,1125.83,867.12,22.98,66
27,SanDisk Android Ultra 10,Smartphones,Android,SanDisk,356.31,286.85,19.49,85
28,Sony Android  11,Smartphones,Android,Sony,963.97,817.99,15.14,39
29,Samsung Android Plus 18,Smartphones,Android,Samsung,1316.53,1100.39,16.42,72
30,Dell Android Lite 25,Smartphones,Android,Dell,1139.36,767.39,32.65,41
31,Razer Android Pro 23,Smartphones,Android,Razer,1248.75,1013.88,18.81,55
32,Acer Android  13,Smartphones,Android,Acer,806.13,567.66,29.58,17
33,Acer Android Plus 16,Smartphones,Android,Acer,1239.77,1026.71,17.19,78
34,Microsoft Android Plus 12,Smartphones,Android,Microsoft,747.45,593.69,20.57,66
35,Razer Android Pro 12,Smartphones,Android,Razer,264.76,172.13,34.99,40
36,HP Android Max 11,Smartphones,Android,HP,830.33,670.28,19.27,31
37,Acer Android Max 19,Smartphones,Android,Acer,1479.9,1179.42,20.3,64
38,Logitech Android Pro 11,Smartphones,Android,Logitech,400.24,316.45,20.93,50
39,Apple iOS Lite 15,Smartphones,iOS,Apple,958.43,718.28,25.06,17
40,Sony Android Pro 17,Smartphones,Android,Sony,1305.75,1091.99,16.37,61
41,Samsung Android Pro 23,Smartphones,Android,Samsung,951.59,801.29,15.79,84
42,LG Android  20,Tablets,Android,LG,1230.44,995.61,19.09,40
43,Lenovo Android Max 20,Tablets,Android,Lenovo,386.42,278.57,27.91,19
44,Apple iOS Pro 12,Tablets,iOS,Apple,901.22,664.56,26.26,78
45,Dell Android Pro 17,Tablets,Android,Dell,388.08,302.78,21.98,57
46,Lenovo Android Ultra 26,Tablets,Android,Lenovo,709.09,525.69,25.86,11
47,Xiaomi Android Plus 18,Tablets,Android,Xiaomi,1227.34,1017.81,17.07,24
48,SanDisk Android Ultra 16,Tablets,Android,SanDisk,1028.54,842.28,18.11,53
49,Dell Android Pro 12,Tablets,Android,Dell,779.68,623.57,20.02,64
50,Kingston Android Plus 18,Tablets,Android,Kingston,295.29,231.3,21.67,30
51,Logitech Webcam Pro 13,Periféricos,Webcam,Logitech,283.81,216.96,23.55,19
52,SanDisk Teclado Lite 14,Periféricos,Teclado,SanDisk,280.88,191.86,31.69,65
53,HP Rato Pro 21,Periféricos,Rato,HP,166.96,111.9,32.98,36
54,Xiaomi Teclado Lite 23,Periféricos,Teclado,Xiaomi,339.13,264.27,22.07,89
55,Logitech Teclado Plus 15,Periféricos,Teclado,Logitech,463.37,371.93,19.73,62
56,Apple Teclado Max 17,Periféricos,Teclado,Apple,372.55,291.92,21.64,44
57,HP Rato Max 17,Periféricos,Rato,HP,202.62,170.66,15.77,35
58,Kingston Webcam Plus 17,Periféricos,Webcam,Kingston,186.84,128.15,31.41,13
59,Xiaomi Teclado Pro 18,Periféricos,Teclado,Xiaomi,210.26,167.01,20.57,54
60,Xiaomi Hub USB Lite 20,Acessórios,Hub USB,Xiaomi,44.97,29.4,34.62,13
61,Samsung Carregador Ultra 11,Acessórios,Carregador,Samsung,25.07,16.48,34.25,23
62,LG Cabo Max 26,Acessórios,Cabo,LG,40.11,27.78,30.73,24
63,Acer Hub USB Max 10,Acessórios,Hub USB,Acer,26.11,21.96,15.89,76
64,SanDisk Hub USB  16,Acessórios,Hub USB,SanDisk,70.82,46.88,33.81,56
65,Acer Capa Lite 20,Acessórios,Capa,Acer,94.4,62.86,33.42,25
66,Logitech Carregador Ultra 22,Acessórios,Carregador,Logitech,54.64,39.16,28.34,47
67,Sony Película Max 15,Acessórios,Película,Sony,26.27,18.84,28.3,88
68,LG Carregador Ultra 19,Acessórios,Carregador,LG,45.55,31.12,31.67,36
69,Acer Headset Gaming Plus 26,Gaming,Headset Gaming,Acer,438.5,333.95,23.84,70
